,Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets,Industry,Ticker,pe_ratio_industry_avg
47,2020-12-31,139.7051518,6747415.625,6.36,22.0927673,30.25,24.49,6.91,57.58,1.48,47.98,1.24,106.22,1.65,27.37,10.59,-16.84,-88.83,38.85,64.47,16.99,30781.0,64473.0,21082.0,14110.0,4401.0,6275.0,3554.0,1.33,4.644958678,5.737443855,20.33429812,170.69,Healthcare,JNJ,-28.699564292222224
48,2021-03-31,154.22865020327868,5442693.442622951,5.51,27.14700544,30.94,24.04,7.67,51.24,1.21,41.89,0.99,111.62,1.76,23.35,8.93,-26.52,-72.49,42.49,63.28,14.71,25185.0,63278.0,22475.0,14661.0,1647.0,3687.0,1738.0,0.65,4.834518423,6.222129784,19.50195567,174.89,Healthcare,JNJ,27.22789220444444
49,2021-06-30,158.7546110650794,7180953.968253968,5.66,27.77031802,31.54,25.01,8.14,52.53,1.28,42.58,1.04,106.72,1.62,23.57,8.94,-20.96,-73.16,40.93,65.83,15.12,24619.0,65834.0,22321.0,15258.0,7429.0,9401.0,6197.0,2.32,4.983512999,6.284686126,19.30958231,172.56,Healthcare,JNJ,24.01115095
50,2021-09-30,164.6020393359375,3770978.125,6.84,23.17690058,31.16,26.44,3.2,53.77,1.39,43.67,1.13,106.86,1.54,27.01,10.23,-16.48,-87.95,38.72,69.58,17.77,25306.0,69580.0,23312.0,15725.0,6662.0,8553.0,6278.0,2.35,5.087612323,5.995839637,49.540625,176.44,Healthcare,JNJ,23.874567096666667
51,2021-12-31,158.94293141406249,5110157.8125,5.67,27.57319224,33.39,26.69,11.59,59.89,1.34,49.5,1.11,108.96,1.55,26.59,10.17,-13.07,-92.84,44.56,70.27,17.88,31001.0,70272.0,23338.0,16088.0,3849.0,5696.0,3667.0,1.37,4.682240192,5.857624578,13.48921484,179.23,Healthcare,JNJ,28.806642503333332
52,2022-03-31,166.2983201532258,4264796.774193549,6.11,27.28314239,34.77,28.16,10.36,60.98,1.35,50.59,1.12,108.0,1.46,29.86,11.76,-7.62,-143.65,45.23,74.02,20.88,31608.0,74023.0,24804.0,16849.0,4836.0,6752.0,4736.0,1.77,4.794362957,5.919744318,16.09073359,182.02,Healthcare,JNJ,68.88091396888889
53,2022-06-30,175.20932857868854,6277600.0,7.39,23.52232747,35.14,28.41,9.01,60.42,1.39,49.43,1.14,103.65,1.39,27.49,11.08,-4.65,-189.68,43.39,74.71,19.83,30388.0,74709.0,23426.0,15828.0,5862.0,7663.0,5149.0,1.93,4.946784290999999,6.118620204,19.29300777,178.36,Healthcare,JNJ,-0.5830009466666672
54,2009-03-31,19.45338058,7036865.0,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10.0,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356,Healthcare,DHR,7.177199014624999
55,2009-06-30,21.26301265904762,5707601.888888889,1.911798339,13.25846775,16.0444785,15.69,3.89072974,4.5,1.82,3.36,1.36,7.67,0.77,10.5366738,6.11803595,-0.988770543,-109.0546464,2.48,10.0,1.013515766,1268.21351,10587.2214,2691.146789,1287.871753,352.4848228,426.7742531,311.5532649,0.466268186,1.594193407,1.483272699,7.176817733,18.92980356,Healthcare,DHR,7.177199014624999
56,2009-09-30,22.5526547734375,3576361.71875,1.921114982,12.92472367,16.13023878,16.58,3.880305521,4.79,1.91,3.72,1.48,7.72,0.73,10.54202374,6.120237704,-0.999201838,-111.3910791,2.51,10.6,1.040723606,1258.0,10603.0,2674.0,1262.0,344.0,430.0,296.0,0.44,1.573641782,1.475680005,7.32921229,19.09236077,Healthcare,DHR,7.1190626025000014
